footing,4
wonder,19
multiply,7
proper,31
increase,21
confirm,2
once,60
discovered,18
horizon,1
enlightened,2
comprehensible,1
acquiesce,1
avowed,1
stands,18
proceed,20
beg,7
serves,6
phantasm,1
species,27
frequently,14
using,11
presume,5
granted,8
shown,31
primary,39
koivai,1
evvoiai,1
characters,31
stamped,9
receives,9
falseness,1
supposition,27
barely,34
impressions,50
arrive,7
grant,19
impertinent,2
colours,44
eyes,40
external,33
unreasonable,7
attribute,12
originally,9
doubt,73
dispose,1
embrace,4
wherever,18
commonly,35
universally,16
needs,27
souls,10
really,74
inherent,5
consent,22
proves,15
drawn,9
misfortune,1
agreement,31
“what,2
“it,9
possible,48
worse,7
begin,25
magnified,4
“whatsoever,2
impossible,60
be”,2
settled,19
maxims,42
strange,18
seem,35
evident,92
apprehension,7
destroy,13
concomitant,5
seeming,9
contradiction,10
understands,6
imprinting,3
imprint,4
mind’s,4
perceiving,13
hardly,15
unavoidably,2
knew,16
assenting,7
nay,28
die,7
contended,3
amount,4
improper,3
assert,2
acquired,16
contest,1
adventitious,6
distinguish,42
talks,1
intend,3
“to,1
understanding”,1
propriety,10
infants,5
answered,8
signification,28
apply,26
tolerable,5
soon,34
native,13
inscriptions,2
exercise,15
assists,2
arguing,4
firmly,7
mark,31
mathematicians,6
theorems,1
deduce,1
9,27
deducing,1
teaches,3
visible,24
engraven,4
10,25
reasoning,17
mathematical,5
demonstrations,6
distinguished,36
proofs,6
withal,1
lays,3
open,15
weakness,9
subterfuge,1
confessed,7
affirm,8
maxim,5
“that,17
deduction,1
bounty,2
fond,5
casting,1
foundation,43
guide,6
11,22
ready,26
depends,24
hereafter,18
procuring,1
“men,2
utterly,5
12,21
“when,2
also,122
early,7
falsely,1
assigned,12
illiterate,4
people,34
savages,4
pass,36
framed,16
indeed,38
verities,1
steps,8
extravagant,7
sequel,2
necessity,23
get,36
knowable,3
observable,21
reality,18
distinction,14
note,2
proved,13
logic,1
province,1
begins,16
agree,44
self,61
‘assent,1
attains,1
furnish,11
empty,10
cabinet,2
lodged,10
memory,82
proceeding,4
abstracts,1
learns,2
materials,19
discursive,1
daily,14
grow,6
earliest,3
probably,7
retain,25
“the,4
child,27
sweet,21
bitter,12
wormwood,2
sugarplums,1
16,17
innateness,1
three,45
equal,55
seven,9
count,6
equality,9
explaining,4
presently,17
assents,7
wanted,4
rod,2
cherry,2
later,5
generic,1
cat,5
weasel,1
stay,9
observation,32
disagree,6
eighteen,3
nineteen,3
thirty,3
signified,17
17,16
evasion,1
failing,3
leaving,8
learnt,6
secure,6
seeing,10
infer,1
teaching,3
proposal,1
closes,3
sweetness,10
bitterness,1
thousand,26
inate,1
principle,30
heard,12
plentifully,1
stored,6
admit,14
numbers,37
multitude,9
axioms,1
prerogative,2
“two,2
place”,1
sticks,2
“white,1
black,12
“a,2
square,12
circle,8
“bitterness,1
million,3
wits,2
easier,10
different”,1
legions,1
mentioning,1
sounds,37
tastes,13
figure,88
opposite,7
experience,50
19,14
“one,1
“green,1
red,10
consequences,13
looked,20
earlier,2
owe,2
“red,1
blue,13
admitted,8
strangers,2
longer,20
conceived,11
due,28
21,12
“assenting,1
supposes,14
unacquainted,3
hears,7
gaining,1
doth,19
clearer,15
taught,17
whence,40
pretended,9
whosoever,5
finds,30
thenceforth,1
whensoever,2
grounded,2
